Id,Probability
1,0.009956347
2,0.022417957
3,0.014674663
4,0.019341536
5,0.05640242
6,0.009115485
7,0.022205245
8,0.057776894
9,0.0005990943
10,0.7860141
11,0.015859906
12,0.094554916
13,0.0015150071
14,0.065857194
15,0.02151186
16,0.007299173
17,0.002693275
18,0.0030880063
19,0.23247004
20,0.041062538
21,0.006054035
22,0.004264355
23,0.0014295112
24,0.7641358
25,0.011253513
26,0.010281239
27,0.05534705
28,0.0009900277
29,0.05552329
30,0.049395602
31,0.019804459
32,0.00085243746
33,0.008785447
34,0.24066465
35,0.8474529
36,0.07963863
37,0.018962983
38,0.008007269
39,0.0077294465
40,0.019937545
41,0.3394973
42,0.6680147
43,0.51355016
44,0.0060407817
45,0.010759872
46,0.0044614365
47,0.005536183
48,0.0017203129
49,0.026249854
50,0.0035934371
51,0.020057201
52,0.015695669
53,0.0055553042
54,0.021618444
55,0.013142726
56,0.07580373
57,0.002236595
58,0.36930057
59,0.03193174
60,0.02695113
61,0.028764453
62,0.0031298941
63,0.07985875
64,0.009145929
65,0.052549563
66,0.02040353
67,0.0068426435
68,0.78235185
69,0.0016740382
70,0.89184535
71,0.0043413574
72,0.19243056
73,0.005419166
74,0.8142072
75,0.01810023
76,0.01786933
77,0.12989591
78,0.03394405
79,0.7168592
80,0.00948424
81,0.01693682
82,0.008786698
83,0.07220531
84,0.0013170274
85,0.008428373
86,0.004008473
87,0.021389
88,0.0046241377
89,0.7277352
90,0.012907289
91,0.16411126
92,0.006441843
93,0.07076257
94,0.033353537
95,0.003325227
96,0.082989775
97,0.05681704
98,0.030047296
99,0.010577987
100,0.0055067325
101,0.007087332
102,0.36381584
103,0.0012835725
104,0.06425936
105,0.75058466
106,0.022078073
107,0.2471664
108,0.01386921
109,0.00019639189
110,0.03178865
111,0.052959144
112,0.3752481
113,0.0437163
114,0.8276614
115,0.072697535
116,0.005210458
117,0.00020975486
118,0.062105596
119,0.015128071
120,0.01713519
121,0.0019750935
122,0.10874113
123,0.0016764689
124,0.3875944
125,0.0029236972
126,0.011906222
127,0.006167279
128,0.0076897545
129,0.00067259
130,0.02237489
131,0.002195046
132,0.20887753
133,0.0009726305
134,0.501833
135,0.25177792
136,0.0005323967
137,0.5151919
138,0.09216336
139,0.0008205057
140,0.0038313894
141,0.0016267318
142,0.001271522
143,0.003945249
144,0.01592445
145,0.17860243
146,0.0016265436
147,0.00029723355
148,0.49753314
149,0.00634308
150,0.08982113
151,0.0014190199
152,0.00656675
153,0.021418178
154,0.002706905
155,0.015893595
156,0.0014645471
157,0.040337417
158,0.0066124853
159,0.071496226
160,0.01397236
161,0.0010826054
162,0.016011732
163,0.004464968
164,0.006805262
165,0.023403514
166,0.005101236
167,0.6666295
168,0.00634473
169,0.2880903
170,0.0034940934
171,0.0008116559
172,0.0078497445
173,0.0030696122
174,0.030691544
175,0.09535371
176,0.733356
177,0.17440459
178,0.094011925
179,0.0088299485
180,0.0044356114
181,0.057827365
182,0.001461821
183,0.0067262314
184,0.017250286
185,0.3043372
186,0.0020874855
187,0.0020366856
188,0.03690456
189,0.06327358
190,0.02517829
191,0.03354851
192,0.024340328
193,0.009637438
194,0.05338917
195,0.020140812
196,0.002389259
197,0.010167306
198,0.0021010283
199,0.009466579
200,0.00798166
201,0.16697459
202,0.12192353
203,0.88199055
204,0.065459244
205,0.019951502
206,0.002422499
207,0.11691552
208,0.051859885
209,0.3479512
210,0.0022212774
211,0.11152513
212,0.025009738
213,0.034566138
214,0.0021447449
215,0.0013245442
216,0.051466454
217,0.0040644687
218,0.1350058
219,0.0008140885
220,0.0022728203
221,0.0025493137
222,0.009151734
223,0.003507013
224,0.015205498
225,0.0036934267
226,0.12289269
227,0.0013355496
228,0.011105087
229,0.6173075
230,0.40151024
231,0.24980079
232,0.0065011187
233,0.0054249982
234,0.027011506
235,0.00034274225
236,0.3996285
237,0.03941831
238,0.0008959997
239,0.018082641
240,0.0051398138
241,0.021158507
242,0.0055393395
243,0.0025439288
244,0.008254174
245,0.07351841
246,0.012832976
247,0.014056363
248,0.0014515456
249,0.034375668
250,0.5569723
251,0.008160022
252,0.68027586
253,0.00010481689
254,0.1036927
255,0.0036434121
256,0.00024927934
257,0.009754419
258,0.102705374
259,0.0038495283
260,0.056669448
261,0.003231446
262,0.014783026
263,0.0011425131
264,0.051137257
265,0.046536323
266,0.00083642936
267,0.055133745
268,0.44135153
269,0.5573009
270,0.0031734821
271,0.010971916
272,0.06259497
273,0.008956047
274,0.07326091
275,0.0028357247
276,0.006807928
277,0.0014600549
278,0.0020425364
279,0.010415787
280,0.004104252
281,0.5858247
282,0.21303743
283,0.12978296
284,0.0050253635
285,0.050195083
286,0.004025561
287,0.0065265233
288,0.03975308
289,0.06796347
290,0.14386931
291,0.3678793
292,0.0151478695
293,0.0048669185
294,0.0028075927
295,0.004988557
296,0.017201737
297,0.012213959
298,0.0118803615
299,0.0010757175
300,0.0061882464
301,0.02499077
302,0.0017166047
303,0.0025247436
304,0.02407241
305,0.5342357
306,0.00747719
307,0.002711792
308,0.7310869
309,0.41869584
310,0.014339046
311,0.9374396
312,0.027373664
313,0.6633335
314,0.036568593
315,0.042733733
316,0.10106692
317,0.53117436
318,0.015260011
319,0.029031487
320,0.32283404
321,0.48543712
322,0.017701425
323,0.010623422
324,0.007404118
325,0.08331155
326,0.013046965
327,0.0046565044
328,0.16885993
329,0.02481149
330,0.004165099
331,0.0020511923
332,0.007574628
333,0.022399249
334,0.019416347
335,0.15846963
336,0.011357248
337,0.011570919
338,0.5102548
339,0.21436575
340,0.010807335
341,0.0017718263
342,0.045887064
343,0.0135173695
344,0.17183568
345,0.06294708
346,0.0049189525
347,0.5594451
348,0.092727326
349,0.007489146
350,0.0016916945
351,0.16722691
352,0.027991349
353,0.0019177994
354,0.07254626
355,0.0042766123
356,0.0040230933
357,0.9540104
358,0.0051359697
359,0.0017236079
360,0.7259754
361,0.0030019702
362,0.0048081595
363,0.00060322764
364,0.016959477
365,0.26330325
366,0.05803613
367,0.008519922
368,0.028455056
369,0.0012894032
370,0.83395076
371,0.0017858776
372,0.50387573
373,0.0072474633
374,0.0014222397
375,0.027575314
376,0.0127042085
377,0.14406414
378,0.003754322
379,0.003510232
